
GrupoA

~/ensino/private/comp/e2/GrupoA ~/ensino/private/comp/e2
mkdir -p ./build
bison  --defines=./build/parser.h --output=./build/parser.c src/parser.y
flex -i -I -c -o build/lex_scanner.c ./src/scanner.l
gcc    -c -o build/lex_scanner.o build/lex_scanner.c
gcc    -c -o build/parser.o build/parser.c
gcc -g -Wall -I./include -I./build -lfl -c -o build/main.o src/main.c
gcc -g -Wall -I./include -I./build -lfl -o etapa2 build/lex_scanner.o build/parser.o build/main.o
GrupoB - asl128 - 1 - "syntax error "
GrupoB - asl129 - 0 - ""
GrupoB - asl130 - 1 - "syntax error "
GrupoB - asl131 - 1 - "syntax error "
GrupoB - asl132 - 1 - "syntax error "
GrupoB - asl133 - 1 - "syntax error "
GrupoB - asl134 - 1 - "syntax error "
GrupoB - asl135 - 1 - "syntax error "
GrupoB - asl136 - 1 - "syntax error "
GrupoB - asl137 - 1 - "syntax error "
GrupoB - asl138 - 0 - ""
GrupoB - asl139 - 0 - ""
GrupoB - asl140 - 0 - ""
GrupoB - asl141 - 0 - ""
GrupoB - asl142 - 0 - ""
GrupoB - asl143 - 1 - "syntax error "
GrupoB - asl144 - 0 - ""
GrupoB - asl145 - 0 - ""
GrupoB - asl146 - 0 - ""
GrupoB - asl147 - 0 - ""
GrupoB - asl148 - 0 - ""
GrupoB - asl149 - 0 - ""
GrupoB - asl150 - 1 - "syntax error "
GrupoB - asl151 - 0 - ""
GrupoB - asl152 - 1 - "syntax error "
GrupoB - asl153 - 0 - ""
GrupoB - asl154 - 0 - ""
GrupoB - asl155 - 1 - "syntax error "
GrupoB - asl156 - 1 - "syntax error "
GrupoB - asl157 - 0 - ""
GrupoB - asl158 - 0 - ""
GrupoB - asl159 - 1 - "syntax error "
GrupoB - asl160 - 0 - ""
GrupoB - asl161 - 0 - ""
GrupoB - asl162 - 0 - ""
GrupoB - asl163 - 0 - ""
GrupoB - asl164 - 1 - "syntax error "
GrupoB - asl165 - 1 - "syntax error "
GrupoB - asl166 - 0 - ""
GrupoB - asl167 - 0 - ""
GrupoB - asl168 - 1 - "syntax error "
GrupoB - asl169 - 1 - "syntax error "
~/ensino/private/comp/e2

GrupoC

~/ensino/private/comp/e2/GrupoC ~/ensino/private/comp/e2
bison -d parser.y
flex scanner.l
gcc -c lex.yy.c parser.tab.c main.c
gcc -o etapa2 lex.yy.o parser.tab.o main.o -lfl
GrupoC - asl01 - 0 - ""
GrupoC - asl02 - 0 - ""
GrupoC - asl03 - 0 - ""
GrupoC - asl04 - 0 - ""
GrupoC - asl05 - 0 - ""
GrupoC - asl06 - 0 - ""
GrupoC - asl07 - 0 - ""
GrupoC - asl08 - 0 - ""
GrupoC - asl09 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl10 - 1 - "syntax error at line 2 UNEXPECTED token "v" "
GrupoC - asl11 - 1 - "syntax error at line 3 UNEXPECTED token "" "
GrupoC - asl12 - 1 - "syntax error at line 2 UNEXPECTED token "<=" "
GrupoC - asl13 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl14 - 1 - "syntax error at line 4 UNEXPECTED token "class" "
GrupoC - asl15 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl16 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl17 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl18 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl19 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl20 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl21 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl22 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl23 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl24 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl25 - 0 - ""
GrupoC - asl26 - 1 - "syntax error at line 4 UNEXPECTED token ";" "
GrupoC - asl27 - 0 - ""
GrupoC - asl28 - 0 - ""
GrupoC - asl29 - 1 - "syntax error at line 2 UNEXPECTED token "[" "
GrupoC - asl30 - 0 - ""
GrupoC - asl31 - 0 - ""
GrupoC - asl32 - 0 - ""
GrupoC - asl33 - 0 - ""
GrupoC - asl34 - 1 - "syntax error at line 5 UNEXPECTED token "int" "
GrupoC - asl35 - 0 - ""
GrupoC - asl36 - 0 - ""
GrupoC - asl37 - 0 - ""
GrupoC - asl38 - 0 - ""
GrupoC - asl39 - 0 - ""
GrupoC - asl40 - 1 - "syntax error at line 4 UNEXPECTED token "[" "
GrupoC - asl41 - 0 - ""
GrupoC - asl42 - 0 - ""
GrupoC - asl43 - 0 - ""
GrupoC - asl44 - 0 - ""
GrupoC - asl45 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl46 - 0 - ""
GrupoC - asl47 - 0 - ""
GrupoC - asl48 - 0 - ""
GrupoC - asl49 - 1 - "syntax error at line 2 UNEXPECTED token "class" "
GrupoC - asl50 - 0 - ""
GrupoC - asl51 - 0 - ""
